S/N,Throughput,UL Packet Loss,DL Packet Loss
520,914.48296094,0.00001372,0.00003583
521,915.91040625,0.00001369,0.00003576
522,917.68541406,0.00001367,0.00003569
523,919.45996875,0.00001364,0.00003561
524,920.90132813,0.00001362,0.00003555
525,922.55960156,0.00001359,0.00003548
526,924.27792969,0.00001357,0.00003541
527,925.94166406,0.00001354,0.00003533
528,927.72960156,0.00001352,0.00003526
529,929.04773438,0.00001349,0.00003521
530,930.92030469,0.00001347,0.00003514
531,932.77296875,0.00001345,0.00003507
532,934.17851563,0.00001342,0.00003501
533,936.04212500,0.00001340,0.00003494
534,937.93894531,0.00001337,0.00003487
535,939.40017969,0.00001335,0.00003480
536,941.11320313,0.00001333,0.00003473
537,942.73443750,0.00001330,0.00003467
538,943.97957031,0.00001328,0.00003461
539,945.85787500,0.00001325,0.00003455
540,947.66188281,0.00001323,0.00003448
541,948.91036719,0.00001321,0.00003442
542,950.51205469,0.00001318,0.00003436
543,951.82926563,0.00001316,0.00003430
544,953.73016406,0.00001314,0.00003422
545,955.84212500,0.00001311,0.00003414
546,957.33320313,0.00001309,0.00003408
547,959.07881250,0.00001307,0.00003402
548,960.76535938,0.00001305,0.00003395
549,962.05507031,0.00001302,0.00003390
550,963.85613281,0.00001300,0.00003384
551,965.52397656,0.00001298,0.00003378
552,967.01676563,0.00001295,0.00003372
553,968.68156250,0.00001293,0.00003366
554,969.86629688,0.00001291,0.00003361
555,971.55988281,0.00001289,0.00003354
556,973.29465625,0.00001287,0.00003348
557,974.83207031,0.00001284,0.00003342
558,976.73448438,0.00001282,0.00003335
559,978.52844531,0.00001280,0.00003328
560,979.96617969,0.00001278,0.00003323
561,981.67039063,0.00001276,0.00003317
562,983.35332813,0.00001273,0.00003311
563,984.82704688,0.00001271,0.00003305
564,986.54745313,0.00001269,0.00003299
565,988.26092188,0.00001267,0.00003293
566,989.47842188,0.00001265,0.00003288
567,991.09597656,0.00001262,0.00003283
568,992.53055469,0.00001260,0.00003277
569,994.23431250,0.00001258,0.00003271
570,996.21121875,0.00001256,0.00003264
